economist_daily_chart_520,Quality Rating,Mention of Visual (non-data) elements,Mention of a data element or visual encoding,Extra inference/insight,Description of the title,Description of another element,NOT 100% accurate,Possible recall of different viz,
wab_4_4:,3,0,1,1,1,"Lengend, Axis",,,Percentage of people of different political parties who picked either Romney (red) or Obama (blue) as being better at debate. Romney one in all political party categories except in the Democrats
abl32_3:,3,0,1,1,1,"Lengend, Axis",,,Most americans believe ROmney did better in debates than Obama (all groups besides democrats)
lcm29_4:,2,0,0,0,1,,,,68% of americans think Romney did better on the debates. If by better they meant he was more of a dick and interrupted a lot and got away with it
md34_4:,3,1,1,1,1,Axis,,,66% of Americans believe Romney did better in the debate is what the quote on the left top reads. Democrats believed Obama did better with a small majority. Other groups were also considered around 4 total. Fox News viewers may have been one category. Obama pic on left lower Romney on right
rk31_3:,2,0,0,0,1,,,,Romney statistically debates better than Obama.
171,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/visually&image=vis416.jpg
cmb_1_4:,3,0,0,0,1,Paragraph,0,,Referee change effect on sport including on upper left amount of money charged for poor conduct.
ls_2_3:,2,0,1,0,1,,0,,Teams stats about refs
pi_5_4:,0,0,0,0,0,,0,,I remember this one from the bubble game demo (and infoviz probably). Oddly I don't remember what it was about though.
sk2_6_4:,2,0,0,0,1,,0,,Effect of getting new referees in a football game.
em_23_2:,3,0,0,1,1,Paragraph,0,,"Describing the effects of the ""replacement referees"" during the 2012 NFL Season.  More challenges were called"
krm_18_1:,2,0,0,0,0,Paragraph,0,,COACHES GETTING FINED FOR BULLYING REFS
mg_15_2:,3,0,0,1,0,Paragraph,0,,Referees in the NFL their calls' effects on the outcomes of bets how much coaches harass them and how much said coaches get fined for it.
ms_21_1:,2,0,0,0,1,,0,,different referee statistics
ra_25_1:,1,0,0,0,0,,0,,soccer ref
tj_11_1:,2,0,0,0,0,Paragraph,1,,referees penalty for attacking ref
wab_4_3:,3,0,0,0,1,Paragraph,1,,Problems that have been happening with coach changeovers -- information on how many fines or attacks there have been. Something about the Seahawks versus the Packers
ag32_4:,2,0,0,0,0,Paragraph,0,,football replacement refs for 2012 vs 2011                                                                                                                                  20% more coach challenges in 2012 in the first 3 weeks over the first 3 weeks of 2011                                                                                       everyone hates replacement refs
pj34_2:,1,0,0,0,1,Paragraph,0,,money in football
rb33_2:,3,0,0,1,1,Paragraph,0,,Describing the season where the NFL refs had a lockout.  Coach challenges fines etc...
rk31_1:,3,0,0,1,1,Paragraph,0,,the differences between referees and temporary referees and the money each costs the NFL
198,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/visually&image=visMost108.jpg
cmb_1_4:,2,1,1,0,1,"Legend, Data",1,,Required vacation time. Canada may have been the one with the most required vacation time (the white). As the tiers are lower and closer to the red tones less days of vacation time. I couldn't find the US on here in the time I had.
pi_5_4:,3,0,1,0,1,"Data, Pictogram",0,,Number of legally required vacation days per country. U.S. is at the bottom at 0.
sk2_6_3:,3,0,0,0,1,"Legend, Data, Pictogram",1,,Number of required vacation days for different countries. The US has 0 Australia has the most (around 45 days I wish I lived there!).
krm_18_1:,1,0,0,0,1,"Legend, Pictogram",0,,VACATION...AUSTRIA WAS 42 US 0
mg_15_4:,3,0,0,1,1,"Legend, Pictogram",0,,Some countries in fact all the countries on this graph except the US require employees to take some amount of vacation per year. Europe requires the most generally speaking.
ad_28_1:,3,0,0,0,1,"Legend, Pictogram",0,,Visual showing how many days of mandatory vacation different countries enforce. The US is in red it enforces 0 days vacation.
lcm29_2:,3,0,0,0,1,"Legend, Pictogram",0,,mandatory vacation time (we get none)
rb33_3:,3,0,0,0,1,"Legend, Pictogram",0,,Required vacation time by country the US has none.
rk31_3:,3,0,0,0,1,"Legend, Pictogram",0,,Some places require vacations. The USA does not.
206,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/visually&image=visMost227.jpg
cmb_1_4:,3,1,0,0,1,"Labels, Pictograms",0,,Why to visit Tokyo Japan. Includes food (middle of graphic) train system (lower left). Blue-pink-yellow blob on mid-left is Harajuku. Right of it is soe kind of animal.
pi_5_3:,3,0,0,0,1,"Labels, Pictograms",0,,Reasons to visit Tokyo. Includes a few about excellent food one about history trains ...
db_19_2:,2,0,0,0,1,"Labels, Pictograms",0,,tokyo tourist things including fish market
em_23_2:,2,0,0,0,1,,0,,Reasons to visit Tokyo Japan
mc_13_3:,3,1,0,0,1,"Labels, Pictograms",0,,this was ten reasons to visit tokyo japan. the was a fish market a bunch of beers/drinks in the right hand corner and other stuff
mg_15_4:,3,1,0,0,1,"Labels, Pictograms",0,,A description of various tourist attractions in Tokyo Japan including fashion and restaurants.
sh_26_1:,1,0,0,0,1,,0,,japan
abl32_1:,2,0,0,0,1,Labels,0,,10 reasons to visit Japan.
lcm29_4:,2,1,0,0,1,"Labels, Pictograms, Paragraph",0,,super ultra cute graph about tokyo and how they sell a plate of kobe beef for like 500 bucks
pj34_2:,1,1,0,0,1,Pictograms,0,,about japan had a bunch of cartoon animals
rb33_1:,2,0,0,0,1,,0,,A visual representation of the best reasons to visit Tokyo.
rk31_2:,1,0,0,0,1,"Label, Pictogram",0,,Tokyo Japan Love.
245,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/visually&image=visMost745.jpg
db_19_2:,3,0,1,0,1,"Data, Label",1,,7 peaks all matched against the pyramid of giza. Mt Everest was of course the tallest there were two from South America but none from North America.
em_23_2:,3,0,0,0,1,"Data, Label",0,,Showing the top 7 highest mountains in relation to each other along with the continent they are on. Everest is the highest
mg_15_2:,3,0,0,0,1,"Data, Label",0,,"The ""Se7en Summits"" a comparison of the heights of the highest mountains on each continent. Kilamanjaro Denali something in Chile that starts with A Everest of course and 3 others."
mrc_24_1:,1,1,0,0,0,"Pictogram, Label",0,,The first word in the title started with an S. These are pictures of mountains. They all have snow. There is one in South America one in Antartica one in Africa
tj_11_1:,1,1,0,0,1,"Pictogram, Label",0,,7 pyramids giza kilimanjaro
wab_4_4:,2,0,1,0,1,Data,1,,A depiction of the 7 tallest mountains in the world
ag32_4:,2,0,0,0,1,"Data, Label",1,,7 highest peaks everest mt mcminley kilimanjaro
lcm29_4:,2,0,1,0,0,"Data, Label",1,,Highest mountains in the world. Really really high. Pyramids for scale as a tiny blip at the bottom
md34_4:,2,1,1,0,1,"Data, Pictogram",0,,Takes into account heights of seven mountain ranges among other factors. Photo graphics from actual mountains inside triangular scale representations of the mountains.
pk30_2:,2,0,1,0,0,"Data, Label",0,,Tallest mountains Kilamanjaro Everest a pyramid
rb33_2:,3,0,1,0,1,"Data, Label",0,,The seven largest summits in each continents. Everest was the highest kilamanjaro for africa mckinly for north america.
rk31_3:,2,0,1,0,1,"Data, Label",0,,Seven summits. The pyramid at Giza is tiny a the bottom.
255,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/worldhealth&image=whoB13_2.jpg
pi_5_4:,2,0,0,0,1,Label,0,,Causes of death in young girls. A few I remember: pneumonia diarrhea prematurity.
db_19_2:,2,0,0,0,1,Label,0,,something about causes of mortality/illness in girls in a certain country - Diarrhea was 85% something
em_23_1:,2,0,0,0,1,Paragraph,0,,Causes of death for girls under five and how malnutrition factored into it
krm_18_1:,0,0,0,0,0,Label,0,,89% 69%
mg_15_3:,2,0,1,0,1,"Paragraph, Label",1,,Deaths (in girls) by various causes. The shaded sub-pie-wedges are the fraction of that death type due to infectious diseases.
ad_28_1:,2,0,0,0,1,,0,,Causes of death among young girls by percentage.
lcm29_3:,2,0,0,0,1,,0,,mortality in young girls I think
275,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/worldhealth&image=whoJ36_2.jpg
sk2_6_3:,2,0,0,0,1,"Paragraph, Data",0,,Improved water sanitation levels?
mg_15_1:,0,0,0,0,0,,0,,No idea.
312,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/worldhealth&image=whoQ06_2.jpg
pi_5_3:,0,0,0,0,0,,0,X,Another one about alcohol?
db_19_1:,2,0,0,0,1,Legend,1,,African nations and their aid...something about the bottom 20%.  the darker line at the top represented the African nations in general
mc_13_1:,0,0,0,0,0,,0,,they were all shades of brown/tan none of the lines had much change over the time period given
abl32_2:,1,0,0,0,1,,0,,Africa something about some disease possibly malaria or HIV/AIDS
lcm29_2:,1,0,0,0,1,,0,,diseases. africa. treatment? Prevelance? who knows
rb33_1:,1,0,0,0,1,Legend,0,,Disease prevalence in various African countries.
342,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/wallstreet&image=wsj184.jpg
pi_5_3:,1,0,0,0,1,"Data, Paragraph",0,,Stock market chart.
sk2_6_3:,3,1,1,0,1,"Data, Paragraph, Pictogram",0,,Something about financial investors putting something on the sidelines since the market is going up. The image is a football play diagram.
cy_12_1:,0,1,0,0,0,Pictogram,0,,I don't remember what it means. There were stacks of money and arrows that had no meaning though.
db_19_2:,1,1,0,0,0,"Text, Pictogram",0,,S&P 500 on a football field
em_23_2:,3,0,0,0,1,"Data, Paragraph, Pictogram, Annotation",0,,"Describing how there was a volatile market and how some people may ""play the sidelines"".  Overall things were up around 16%"
rs_16_1:,2,1,0,0,1,"Pictogram, Paragraph",0,,something about sidelining investors remember the football strategy
tj_11_1:,2,0,0,0,1,,0,,market investors sidelined
wab_4_3:,2,1,0,0,1,"Pictogram, Paragraph",1,,This was looking at the US's economic decisions as if it were a football game
abl32_2:,0,1,0,0,0,Pictogram,0,,Looks like a field can't remember the actual topic though
am34_3:,2,1,0,0,1,Pictogram,0,,investors on the sideline.  Football field with stacks of cash on the sidelines.
lcm29_3:,2,0,0,0,0,Data,0,,finaNCIAL recovery
pk30_1:,2,0,0,0,1,"Paragraph, Data",0,,Investors in the sidelines? Predicting a soft 4th quarter
rk31_4:,0,1,0,0,0,Pictogram,0,,Football field.
348,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/wallstreet&image=wsj233.jpg
ls_2_3:,2,0,0,0,0,"Paragraph, Pictogram",0,,Big Mac facts
pi_5_3:,3,0,0,0,0,"Pictogram, Label, Data",0,,Calories in a Big Mac compared to other popular fast food meals. Big mac was 550 calories? Highest calorie food was a Taco Bell burrio.
sk2_6_3:,2,0,0,0,0,"Pictogram, Data",0,,Calories in big mac starbucks etc.
em_23_2:,3,0,0,0,0,"Pictogram, Label, Data",0,,Comparing the calories of a Big Mac (550) to other popular sandwiches at places such as Taco Bell Burger King (the Whopper was 600) Starbucks and one other one I can't remember
mc_13_1:,3,0,0,0,0,"Paragraph, Pictogram, Label, Data",0,,stated that mcdonalds would start putting its nutrition information on everyting and listed various fastfood items. starbucks drink panera cinnamon crunch bagel Burger kings whopper
mg_15_2:,3,0,0,0,0,"Pictogram, Label, Data",0,,The Big Mac has 550 calories. The four foods from other companies listed below have even more calories.
vm_20_1:,2,0,0,0,0,"Pictogram, Label, Data",0,,calories of taco bell burger king starbuck frapp vs big mac from mcdonalds
abl32_3:,2,0,0,0,0,"Pictogram, Label, Data",0,,Big Mac caloric comparison to the Whopper a frappuchino one taco bell dish and something else
lcm29_3:,1,0,0,0,0,,0,,how many calories
rb33_3:,3,0,0,0,0,"Paragraph, Pictogram, Label, Data",0,,McDonald's wil make available the caloric contents of every menu items.  This chart compares a Big Mac with notable menu items from other large fast food brands.  Taco Bell and a cinnamon bun from Panera are represented.
rk31_3:,2,0,0,0,0,"Pictogram, Label, Data",0,,How McDonald's product compares to to their competition's in calories. Taco Bell. Starbucks.
370,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/wallstreet&image=wsj441.jpg
ls_2_3:,2,0,0,0,1,Paragraph,0,,Rainfall in India for 2012
em_23_2:,3,0,1,0,0,"Legend, Paragraph, Data",0,,Showing the droughts in India.  Only one region had excess amounts of rain compared to previous years but most of the north had scant amounts
mc_13_2:,2,0,1,0,0,"Legend, Paragraph, Data",0,,a map of india that was about rainfall. the red parts mean they didn't get as much rainfall as they usually do and the green parts are where they got more.
mg_15_3:,3,0,1,0,0,"Legend, Paragraph, Data",0,,Northern India isn't getting as much rain as it used to. The one little green bit is getting extra rain.
abl32_2:,1,0,0,0,0,"Paragraph, Data",0,,Something about India again
am34_3:,3,0,1,1,0,"Legend, Paragraph, Data",0,,Drought figures for India.  Looks like it's argicultural areas (the mostly the north) suffered the most.
lcm29_4:,2,0,0,0,0,Paragraph,0,,india is having severe drout problems
382,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/wallstreet&image=wsj536.jpg
ls_2_3:,2,0,0,0,0,Paragraph,1,,Mongolia drilling bonds?
em_23_1:,3,0,0,0,1,Paragraph,0,,The bond boom in East Asia and how it's been rising
wab_4_3:,3,0,0,0,0,Paragraph,0,,This was about sales of bonds in non-Japan Asian countries rising recently
abl32_3:,1,0,0,0,1,,0,,Boom
rk31_2:,2,0,0,0,1,,0,,bond boom
387,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/wallstreet&image=wsj557.jpg
sk2_6_3:,2,0,0,1,0,Paragraph,0,,Texas is using more oil these days.
cy_12_1:,2,0,0,0,0,Paragraph,0,,energy demand in texas
mg_15_3:,3,0,0,0,0,Paragraph,1,,Texas is using a lot of electricity. So much that they might run out of it at peak hours.
mrc_24_1:,1,0,0,0,0,Paragraph,0,,Somehting about Texas and energy
ad_28_1:,3,0,0,0,0,Paragraph,0,,Texas's electricity demand over the years caption says despite recession its exhausting its reserves.
abl32_1:,2,0,0,0,0,"Paragraph, Data",0,,Texas's energy needs amount of energy consumed increasing steadily
lcm29_2:,1,0,0,0,0,Paragraph,0,,power plants in texas
rb33_3:,3,1,0,0,0,"Paragraph, Pictogram",0,,A chart describing the increasing energy needs of Texas even during the recession. A power plant is the background of the picture.
rk31_4:,1,0,0,0,1,,0,,Surging...
