"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (59-58-19-15-11-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (59-58-19-15-11-2015)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (58-26-04-06-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (58-26-04-06-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (54-45-08-31-12-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (54-45-08-31-12-2015)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (54-34-23-14-12-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (54-34-23-14-12-2015)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (53-44-05-08-12-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (53-44-05-08-12-2015)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (44-18-03-04-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (44-18-03-04-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (43-25-12-26-12-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (43-25-12-26-12-2015)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (38-03-06-12-11-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (38-03-06-12-11-2015)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (34-41-01-06-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (34-41-01-06-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (29-48-03-06-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (29-48-03-06-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (28-45-19-05-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (28-45-19-05-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (23-07-16-04-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (23-07-16-04-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (19-07-04-05-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (19-07-04-05-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (17-43-22-04-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (17-43-22-04-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (11-48-22-04-02-2016)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (11-48-22-04-02-2016)","CURRENT-Nam Wook Kim - Qualification to Prevent Retakes (10-13-23-13-11-2015)","UPDATE-Nam Wook Kim - Qualification to Prevent Retakes (10-13-23-13-11-2015)","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A118DWOXWSI8VC","https://requester.mturk.com/workers/A118DWOXWSI8VC","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A118PDBAG6HV1A","https://requester.mturk.com/workers/A118PDBAG6HV1A","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11F0GAKY7R62D","https://requester.mturk.com/workers/A11F0GAKY7R62D","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11GV9TV9LITID","https://requester.mturk.com/workers/A11GV9TV9LITID","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11HLJJ5HF9YCB","https://requester.mturk.com/workers/A11HLJJ5HF9YCB","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11J2OPH9ZX9X5","https://requester.mturk.com/workers/A11J2OPH9ZX9X5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11JEKN7UUDMY4","https://requester.mturk.com/workers/A11JEKN7UUDMY4","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A11JMFWO6YG3FS","https://requester.mturk.com/workers/A11JMFWO6YG3FS","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11K9A2YRWQ4TU","https://requester.mturk.com/workers/A11K9A2YRWQ4TU","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A11LG8NBTHZ2GT","https://requester.mturk.com/workers/A11LG8NBTHZ2GT","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11LWZ7LHWQ981","https://requester.mturk.com/workers/A11LWZ7LHWQ981","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11M4YPN0UUUCF","https://requester.mturk.com/workers/A11M4YPN0UUUCF","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11O74WA0X6V8L","https://requester.mturk.com/workers/A11O74WA0X6V8L","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A11QDNT3W7DT7K","https://requester.mturk.com/workers/A11QDNT3W7DT7K","7","7","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11ZBHGVDJXR3M","https://requester.mturk.com/workers/A11ZBHGVDJXR3M","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A120OJPI09IPK5","https://requester.mturk.com/workers/A120OJPI09IPK5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A120W491X42WBJ","https://requester.mturk.com/workers/A120W491X42WBJ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A122MZOQT9A8XL","https://requester.mturk.com/workers/A122MZOQT9A8XL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1233JHKRHCDAF","https://requester.mturk.com/workers/A1233JHKRHCDAF","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A124FZKNICGVWC","https://requester.mturk.com/workers/A124FZKNICGVWC","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A125I124AZNUD4","https://requester.mturk.com/workers/A125I124AZNUD4","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1285E4YMCXSBI","https://requester.mturk.com/workers/A1285E4YMCXSBI","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A128DMA7SVKT","https://requester.mturk.com/workers/A128DMA7SVKT","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12BTFPKFKKD2I","https://requester.mturk.com/workers/A12BTFPKFKKD2I","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12BW6TYUCRZBS","https://requester.mturk.com/workers/A12BW6TYUCRZBS","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12DD63NUJ6GU0","https://requester.mturk.com/workers/A12DD63NUJ6GU0","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12ESNX2ED1A3C","https://requester.mturk.com/workers/A12ESNX2ED1A3C","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12EZODY9KXIIM","https://requester.mturk.com/workers/A12EZODY9KXIIM","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12FSHQ6M34I9H","https://requester.mturk.com/workers/A12FSHQ6M34I9H","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12GVRSR9VNATY","https://requester.mturk.com/workers/A12GVRSR9VNATY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12H4QENEVBRSB","https://requester.mturk.com/workers/A12H4QENEVBRSB","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12HVM3SC2W767","https://requester.mturk.com/workers/A12HVM3SC2W767","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12LEKTYDZZFA7","https://requester.mturk.com/workers/A12LEKTYDZZFA7","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12ND9W5E8EXDU","https://requester.mturk.com/workers/A12ND9W5E8EXDU","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12PS164IBS4KN","https://requester.mturk.com/workers/A12PS164IBS4KN","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12W25KJDKS1VR","https://requester.mturk.com/workers/A12W25KJDKS1VR","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12X344A9E0JON","https://requester.mturk.com/workers/A12X344A9E0JON","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12XM6ZSSDMC9I","https://requester.mturk.com/workers/A12XM6ZSSDMC9I","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12XYZ8S726B1W","https://requester.mturk.com/workers/A12XYZ8S726B1W","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12YPFDSKH0SGH","https://requester.mturk.com/workers/A12YPFDSKH0SGH","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12ZFF5SNRJSEW","https://requester.mturk.com/workers/A12ZFF5SNRJSEW","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A130X6CF795CQ5","https://requester.mturk.com/workers/A130X6CF795CQ5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A132HYJJXZSOM9","https://requester.mturk.com/workers/A132HYJJXZSOM9","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A133CYRZMJ2NJN","https://requester.mturk.com/workers/A133CYRZMJ2NJN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","50","","","","","","","","","","","","","","50","","","","50","","50","","50","","50","","50","","","","Never Blocked","",""
"A13BBAG3UAD2X6","https://requester.mturk.com/workers/A13BBAG3UAD2X6","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13BDB989LC6VJ","https://requester.mturk.com/workers/A13BDB989LC6VJ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13BYO8D9ICA6H","https://requester.mturk.com/workers/A13BYO8D9ICA6H","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A13DEZRJ5ERKCA","https://requester.mturk.com/workers/A13DEZRJ5ERKCA","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13GMUHW060OTL","https://requester.mturk.com/workers/A13GMUHW060OTL","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13IWL6N597GCD","https://requester.mturk.com/workers/A13IWL6N597GCD","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A13JTKXI6MWCZW","https://requester.mturk.com/workers/A13JTKXI6MWCZW","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13LNYXMTUOE0G","https://requester.mturk.com/workers/A13LNYXMTUOE0G","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13LZPURDR88PS","https://requester.mturk.com/workers/A13LZPURDR88PS","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13O647FD24R4V","https://requester.mturk.com/workers/A13O647FD24R4V","1","1","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","50","","Never Blocked","",""
"A13OUOMA2OYYTO","https://requester.mturk.com/workers/A13OUOMA2OYYTO","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13OYMIQL1L5T8","https://requester.mturk.com/workers/A13OYMIQL1L5T8","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13P9N9M3KRR07","https://requester.mturk.com/workers/A13P9N9M3KRR07","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13VIJ7G997ZCY","https://requester.mturk.com/workers/A13VIJ7G997ZCY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13VJA7P0DUMUY","https://requester.mturk.com/workers/A13VJA7P0DUMUY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13XHFV3CFKIOL","https://requester.mturk.com/workers/A13XHFV3CFKIOL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A140524EWF2GKE","https://requester.mturk.com/workers/A140524EWF2GKE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","50","","","","","","","","","","","","","","50","","","","50","","50","","50","","50","","50","","","","Never Blocked","",""
"A1420P5LAQ6B9G","https://requester.mturk.com/workers/A1420P5LAQ6B9G","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","50","","","","","","50","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A142LZK8EI4P56","https://requester.mturk.com/workers/A142LZK8EI4P56","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A142OK10GF4CTA","https://requester.mturk.com/workers/A142OK10GF4CTA","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A149OUA4OLM7VS","https://requester.mturk.com/workers/A149OUA4OLM7VS","8","8","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A14HQNH7COGDK2","https://requester.mturk.com/workers/A14HQNH7COGDK2","2","2","100.00%","0","0","0.00%","0","0","0.00%","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","Never Blocked","",""
